RefDes     X          Y          Rot.       Exact     (FREE)    Side
C447       3625.0026  945.0002   180        EXACT     (FREE)    L1_TOP_SIDE                   
C448       3625.0026  1035.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C457       5490.0000  515.0000   180        EXACT     (FREE)    L1_TOP_SIDE                   
D1         6125.0026  3275.0009  180        EXACT     (FREE)    L1_TOP_SIDE                   
D6         4135.0026  4530.0002  180        EXACT     (FREE)    L1_TOP_SIDE                   
D7         5650.0026  3275.0009  000        EXACT     (FREE)    L1_TOP_SIDE                   
D8         2625.0000  790.0000   000        EXACT     (FREE)    L8_BOTTOM_SIDE                
D10        5150.0026  4075.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
D11        5150.0026  4350.0002  270        EXACT     (FREE)    L1_TOP_SIDE                   
D12        5654.5000  2573.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
D13        3920.0026  4260.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
D14        164.5695   3402.7561  270        EXACT     (FREE)    L1_TOP_SIDE                   
D15        4295.0026  3505.0002  270        EXACT     (FREE)    L1_TOP_SIDE                   
D16        164.5695   3166.5356  270        EXACT     (FREE)    L1_TOP_SIDE                   
D17        3660.0026  4405.0002  270        EXACT     (FREE)    L1_TOP_SIDE                   
D18        4495.0026  1922.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
D19        4495.0026  1325.0002  270        EXACT     (FREE)    L1_TOP_SIDE                   
D20        4495.0026  1325.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
D21        4495.0026  710.0002   090        EXACT     (FREE)    L8_BOTTOM_SIDE                
